EggsLaid,Sex,MassOnChick2HatchDate,HatchDate,HatchDayMass,EggLength,EggWidth,Fledged,dayofyear,month
3,F,3.01,10/01/2014,1.99,24.8,15.3,YES,10,5
2,U,2.22,02/01/2016,2.22,NA,NA,NO,2,5
2,U,2.34,17/01/2013,2.34,NA,NA,NO,17,5
2,U,2.39,17/01/2013,2.39,24.5,15,NO,17,5
3,U,5.16,12/01/2014,2.42,24.1,15.7,NO,12,5
3,M,2.47,14/01/2013,2.47,NA,NA,NO,14,5
3,U,2.48,12/01/2015,2.48,NA,NA,NO,12,5
3,U,2.51,14/01/2013,2.51,NA,NA,NO,14,5
2,U,2.54,20/01/2012,2.54,NA,NA,NO,20,5
3,F,4.17,30/01/2008,2.56,25,15.4,YES,30,5
2,F,2.57,26/01/2010,2.57,24.3,15.75,YES,26,5
2,U,2.59,03/01/2012,2.59,23,16,NO,3,5
2,F,2.6,25/01/2014,2.6,NA,NA,YES,25,5
3,M,2.6,11/01/2014,2.6,25.1,15.3,YES,11,5
3,U,2.67,15/01/2015,2.67,24.2,16.3,NO,15,5
3,F,3.91,07/01/2013,2.67,24.5,15.2,NO,7,5
3,F,2.67,07/01/2014,2.67,NA,NA,NO,7,5
3,U,2.7,04/01/2013,2.7,23,15.4,NO,4,5
3,F,2.72,08/01/2013,2.72,25.8,15.3,NO,8,5
2,M,4.1,08/01/2011,2.72,25.1,16.5,YES,8,5
2,M,2.72,26/01/2014,2.72,25.5,16.5,YES,26,5
3,U,5.77,19/01/2013,2.73,NA,NA,NO,19,5
2,M,2.73,25/01/2014,2.73,NA,NA,YES,25,5
2,F,2.75,09/01/2011,2.75,NA,NA,NO,9,5
2,U,2.75,02/01/2016,2.75,NA,NA,NO,2,5
2,F,4.81,25/01/2010,2.76,23.5,16,YES,25,5
2,M,4.19,26/01/2010,2.77,22.4,15.3,YES,26,5
2,M,4.38,08/01/2011,2.77,22.1,15.5,YES,8,5
2,U,2.79,17/01/2013,2.79,NA,NA,NO,17,5
2,M,2.79,04/01/2014,2.79,NA,NA,NO,4,5
3,F,2.8,08/01/2011,2.8,24.3,15.7,NO,8,5
3,U,2.8,16/01/2014,2.8,23.9,16.7,NO,16,5
3,U,2.84,09/01/2015,2.84,25,15.8,NO,9,5
2,U,2.85,20/01/2012,2.85,NA,NA,NO,20,5
3,M,2.87,03/01/2013,2.87,NA,NA,YES,3,5
3,M,2.89,15/01/2009,2.89,NA,NA,UNK,15,5
3,F,3.11,26/01/2012,2.9,24.7,15.7,NO,26,5
2,F,2.91,15/01/2014,2.91,NA,NA,NO,15,5
3,M,2.92,03/01/2014,2.92,24.5,15.8,YES,3,5
2,F,2.92,30/01/2011,2.92,26.6,15.7,NO,30,5
3,U,4.62,19/01/2012,2.93,23.9,16.6,NO,19,5
2,M,2.94,30/01/2010,2.94,NA,NA,YES,30,5
3,F,5.14,14/01/2015,2.94,25.5,16.3,YES,14,5
2,M,4.36,21/01/2013,2.94,24.8,15.4,NO,21,5
2,F,2.96,08/01/2012,2.96,NA,NA,NO,8,5
2,U,2.99,20/01/2015,2.99,23.5,15.4,NO,20,5
2,U,4.18,19/01/2015,3.01,23.5,16.2,NO,19,5
2,M,3.02,27/01/2010,3.02,22.2,15,YES,27,5
2,M,3.03,08/01/2012,3.03,NA,NA,NO,8,5
3,M,4.58,08/01/2015,3.03,25.7,15.9,YES,8,5
2,M,3.04,08/01/2010,3.04,NA,NA,YES,8,5
3,F,3.05,27/01/2012,3.05,25.5,15.6,NO,27,5
2,M,4.46,10/01/2014,3.06,23.4,15.9,YES,10,5
3,F,5,03/01/2013,3.06,26.1,16.1,NO,3,5
3,U,3.07,12/01/2015,3.07,NA,NA,NO,12,5
2,M,5.5,06/01/2013,3.07,25.6,16.6,YES,6,5
2,F,3.09,09/01/2011,3.09,23.2,16,YES,9,5
2,M,5.12,04/01/2014,3.1,26,16.8,YES,4,5
2,F,3.11,22/01/2013,3.11,25,15.7,NO,22,5
3,F,3.12,22/01/2012,3.12,NA,NA,YES,22,5
2,M,3.13,28/01/2010,3.13,NA,NA,YES,28,5
2,M,4.53,10/01/2014,3.13,24.6,16.4,YES,10,5
2,M,3.14,03/01/2010,3.14,NA,NA,YES,3,5
2,U,3.15,05/01/2014,3.15,26.9,15.8,NO,5,5
3,U,3.15,31/01/2008,3.15,24.55,15.1,YES,31,5
3,M,3.16,15/01/2009,3.16,NA,NA,YES,15,5
3,M,3.17,03/01/2013,3.17,NA,NA,YES,3,5
2,U,3.55,16/01/2013,3.17,25.6,15.2,NO,16,5
3,U,3.19,20/01/2012,3.19,24.2,16.4,NO,20,5
2,F,3.22,06/01/2010,3.22,21.65,15.8,NO,6,5
2,M,3.23,19/01/2010,3.23,NA,NA,YES,19,5
3,M,3.24,07/01/2014,3.24,NA,NA,NO,7,5
2,U,3.25,11/01/2015,3.25,24.9,16.1,NO,11,5
3,U,3.56,15/01/2014,3.3,24.2,16.2,NO,15,5
3,U,3.33,28/01/2011,3.33,25.1,16.6,NO,28,5
2,F,3.33,12/01/2011,3.33,25.3,15.7,YES,12,5
2,F,3.34,25/01/2011,3.34,23.1,16.2,YES,25,5
3,U,4.54,09/01/2014,3.35,23.4,16.4,NO,9,5
2,M,3.36,11/01/2014,3.36,23.9,16.2,YES,11,5
2,U,3.37,20/01/2012,3.37,NA,NA,NO,20,5
2,F,3.39,19/01/2010,3.39,NA,NA,YES,19,5
2,M,4.66,25/01/2014,3.42,24.1,16.1,YES,25,5
2,M,5.23,29/01/2011,3.45,26.2,15.7,YES,29,5
3,F,3.49,22/01/2012,3.49,NA,NA,NO,22,5
2,U,5,10/01/2015,3.5,23.3,16,NO,10,5
3,U,3.55,21/01/2013,3.55,NA,NA,NO,21,5
2,F,3.55,09/01/2010,3.55,24.7,15.1,YES,9,5
2,M,3.6,30/01/2010,3.6,NA,NA,YES,30,5
2,U,3.61,08/01/2012,3.61,NA,NA,NO,8,5
2,F,3.62,03/01/2010,3.62,NA,NA,YES,3,5
2,F,4.7,24/01/2011,3.63,23.1,16.6,YES,24,5
3,U,3.64,13/01/2014,3.64,24,15.5,NO,13,5
2,F,5.23,05/01/2010,3.67,22.9,15.75,YES,5,5
2,F,3.67,08/01/2013,3.67,26,16.6,YES,8,5
3,U,3.68,10/01/2014,3.68,24,16.4,NO,10,5
2,M,3.7,11/01/2014,3.7,25.6,16.2,YES,11,5
2,M,3.71,05/01/2014,3.71,25.6,16.6,NO,5,5
2,M,5.13,08/01/2010,3.8,25.2,15.4,YES,8,5
3,U,3.83,27/01/2011,3.83,NA,NA,NO,27,5
3,M,4.72,07/01/2011,3.85,24.6,15.9,NO,7,5
3,U,5.18,27/01/2011,3.87,26.5,16.3,NO,27,5
2,M,5.37,11/01/2011,3.88,25.5,16.5,YES,11,5
2,M,3.92,18/01/2013,3.92,NA,NA,NO,18,5
2,F,5.25,04/01/2014,3.98,26.1,15.6,NO,4,5
2,M,4,26/01/2011,4,26.4,17.3,NO,26,5
2,M,4.06,28/01/2010,4.06,NA,NA,YES,28,5
2,M,4.11,20/01/2012,4.11,NA,NA,NO,20,5
3,U,4.22,27/01/2011,4.22,NA,NA,NO,27,5
2,F,5.1,25/01/2011,4.31,26.7,17.7,NO,25,5
2,U,4.91,08/01/2010,4.91,NA,NA,YES,8,5
2,M,5.88,18/01/2013,5.88,NA,NA,YES,18,5
2,U,1.76,08/10/2015,1.76,NA,NA,NO,281,2
2,U,2.15,28/10/2015,2.15,24.6,15.8,NO,301,2
3,U,2.21,31/10/2013,2.21,23.5,15.5,NO,304,2
3,U,2.28,30/10/2013,2.3,28.1,15.8,NO,303,2
3,F,2.43,26/10/2011,2.43,NA,NA,YES,299,2
2,U,2.51,22/10/2015,2.51,NA,NA,NO,295,2
3,F,2.66,21/10/2013,2.66,NA,NA,NO,294,2
3,M,2.68,05/10/2014,2.68,NA,NA,YES,278,2
3,U,2.69,03/10/2014,2.69,24.2,16.5,NO,276,2
3,U,3.73,02/10/2014,2.82,24.9,16.5,NO,275,2
3,M,2.82,16/10/2010,2.82,NA,NA,UNK,289,2
3,U,2.86,05/10/2014,2.86,NA,NA,NO,278,2
3,M,2.92,16/10/2010,2.92,NA,NA,UNK,289,2
3,U,2.99,01/10/2014,2.99,21.9,17.6,NO,274,2
3,U,3.04,30/10/2013,3.04,NA,NA,NO,303,2
3,M,3.1,26/10/2011,3.1,NA,NA,YES,299,2
3,F,3.18,24/10/2011,3.18,25.1,16.4,NO,297,2
3,U,3.28,30/10/2013,3.28,NA,NA,NO,303,2
2,U,3.33,22/10/2015,3.33,NA,NA,NO,295,2
2,U,4.58,27/10/2015,3.38,25,16.2,NO,300,2
3,F,4.61,23/10/2011,3.39,24,15.4,YES,296,2
3,U,3.77,19/10/2009,3.77,NA,NA,NO,292,2
3,M,4.15,19/10/2009,4.15,NA,NA,YES,292,2
3,U,4.44,07/10/2014,4.44,NA,NA,YES,280,2
3,M,4.66,28/10/2009,4.66,NA,NA,YES,301,2
